match,red1robot,red2robot,red3robot,blue1robot,blue2robot,blue3robot,red1scout,red2scout,red3scout,blue1scout,blue2scout,blue3scout
1,8,1511,1559,8243,1518,340,pm9@school.edu,co2@school.edu,fm4@school.edu,aw1@school.edu,wv4@school.edu,jc5@school.edu
2,3004,4930,6621,3181,20,533,pm9@school.edu,co2@school.edu,fm4@school.edu,aw1@school.edu,wv4@school.edu,jc5@school.edu
3,250,271,695,2340,3173,9622,pm9@school.edu,co2@school.edu,fm4@school.edu,aw1@school.edu,wv4@school.edu,jc5@school.edu
4,3044,5881,3171,2791,7903,3003,pm9@school.edu,co2@school.edu,fm4@school.edu,aw1@school.edu,wv4@school.edu,jc5@school.edu
5,1591,6911,1585,3951,2614,1126,pm9@school.edu,co2@school.edu,fm4@school.edu,aw1@school.edu,wv4@school.edu,jc5@school.edu
6,2228,424,3015,9643,191,2252,pm9@school.edu,co2@school.edu,fm4@school.edu,aw1@school.edu,wv4@school.edu,jc5@school.edu
7,10223,1787,3838,378,639,2010,gb5@school.edu,km7@school.edu,hn7@school.edu,pr2@school.edu,nm5@school.edu,bc9@school.edu
8,229,3799,8393,6868,564,5590,gb5@school.edu,km7@school.edu,hn7@school.edu,pr2@school.edu,nm5@school.edu,bc9@school.edu
9,1308,1507,578,1405,4611,7165,gb5@school.edu,km7@school.edu,hn7@school.edu,pr2@school.edu,nm5@school.edu,bc9@school.edu
10,3003,3171,271,6621,1518,3181,gb5@school.edu,km7@school.edu,hn7@school.edu,pr2@school.edu,nm5@school.edu,bc9@school.edu
11,4930,7903,8243,3004,1591,3173,gb5@school.edu,km7@school.edu,hn7@school.edu,pr2@school.edu,nm5@school.edu,bc9@school.edu
12,9643,533,3951,2614,1559,3044,gb5@school.edu,km7@school.edu,hn7@school.edu,pr2@school.edu,nm5@school.edu,bc9@school.edu
13,2340,3015,1585,424,20,2010,rb8@school.edu,na1@school.edu,rc2@school.edu,bo1@school.edu,rr2@school.edu,jh1@school.edu
14,2228,639,1787,695,229,8140,rb8@school.edu,na1@school.edu,rc2@school.edu,bo1@school.edu,rr2@school.edu,jh1@school.edu
15,1308,9622,6911,10223,8393,191,rb8@school.edu,na1@school.edu,rc2@school.edu,bo1@school.edu,rr2@school.edu,jh1@school.edu
16,3799,4611,564,1511,7165,5881,rb8@school.edu,na1@school.edu,rc2@school.edu,bo1@school.edu,rr2@school.edu,jh1@school.edu
17,250,2252,340,3838,1405,1507,rb8@school.edu,na1@school.edu,rc2@school.edu,bo1@school.edu,rr2@school.edu,jh1@school.edu
18,378,5590,2791,6868,1126,578,rb8@school.edu,na1@school.edu,rc2@school.edu,bo1@school.edu,rr2@school.edu,jh1@school.edu
19,2010,271,7903,3003,3951,424,mm3@school.edu,or5@school.edu,fm5@school.edu,ja5@school.edu,tm5@school.edu,kh3@school.edu
20,1559,3171,3173,3015,639,229,mm3@school.edu,or5@school.edu,fm5@school.edu,ja5@school.edu,tm5@school.edu,kh3@school.edu
21,1787,6621,2340,8393,2228,2614,mm3@school.edu,or5@school.edu,fm5@school.edu,ja5@school.edu,tm5@school.edu,kh3@school.edu
22,4611,3181,1511,1591,9643,9622,mm3@school.edu,or5@school.edu,fm5@school.edu,ja5@school.edu,tm5@school.edu,kh3@school.edu
23,3838,564,20,695,1308,1518,mm3@school.edu,or5@school.edu,fm5@school.edu,ja5@school.edu,tm5@school.edu,kh3@school.edu
24,1405,3004,3044,5590,6911,10223,mm3@school.edu,or5@school.edu,fm5@school.edu,ja5@school.edu,tm5@school.edu,kh3@school.edu
25,7165,378,2252,533,8243,2791,jp8@school.edu,jc6@school.edu,hb8@school.edu,ac5@school.edu,dc9@school.edu,bp2@school.edu
26,8140,1585,6868,578,4930,250,jp8@school.edu,jc6@school.edu,hb8@school.edu,ac5@school.edu,dc9@school.edu,bp2@school.edu
27,1507,340,191,5881,1126,3799,jp8@school.edu,jc6@school.edu,hb8@school.edu,ac5@school.edu,dc9@school.edu,bp2@school.edu
28,2010,6621,4611,1559,229,7903,jp8@school.edu,jc6@school.edu,hb8@school.edu,ac5@school.edu,dc9@school.edu,bp2@school.edu
29,271,3173,639,8393,1308,9643,jp8@school.edu,jc6@school.edu,hb8@school.edu,ac5@school.edu,dc9@school.edu,bp2@school.edu
30,3951,1511,3004,2340,2228,3838,jp8@school.edu,jc6@school.edu,hb8@school.edu,ac5@school.edu,dc9@school.edu,bp2@school.edu
31,3015,5590,1518,6911,533,1787,an8@school.edu,mc2@school.edu,bm8@school.edu,bn1@school.edu,jw3@school.edu,hy4@school.edu
32,20,250,1585,3171,8243,2252,an8@school.edu,mc2@school.edu,bm8@school.edu,bn1@school.edu,jw3@school.edu,hy4@school.edu
33,4930,6868,378,9622,5881,340,an8@school.edu,mc2@school.edu,bm8@school.edu,bn1@school.edu,jw3@school.edu,hy4@school.edu
34,10223,8140,1591,7165,3003,564,an8@school.edu,mc2@school.edu,bm8@school.edu,bn1@school.edu,jw3@school.edu,hy4@school.edu
35,2614,2791,1507,1405,191,695,an8@school.edu,mc2@school.edu,bm8@school.edu,bn1@school.edu,jw3@school.edu,hy4@school.edu
36,1126,3044,424,578,3799,3181,an8@school.edu,mc2@school.edu,bm8@school.edu,bn1@school.edu,jw3@school.edu,hy4@school.edu
37,1518,7903,533,639,9643,2340,cp2@school.edu,gf2@school.edu,dd4@school.edu,kv6@school.edu,sa1@school.edu,ec5@school.edu
38,250,4611,1308,2010,2228,3951,cp2@school.edu,gf2@school.edu,dd4@school.edu,kv6@school.edu,sa1@school.edu,ec5@school.edu
39,4930,5590,5881,6621,1559,8243,cp2@school.edu,gf2@school.edu,dd4@school.edu,kv6@school.edu,sa1@school.edu,ec5@school.edu
40,2252,564,1591,1787,378,271,cp2@school.edu,gf2@school.edu,dd4@school.edu,kv6@school.edu,sa1@school.edu,ec5@school.edu
41,2791,8393,3015,1507,8140,3004,cp2@school.edu,gf2@school.edu,dd4@school.edu,kv6@school.edu,sa1@school.edu,ec5@school.edu
42,578,340,3838,6911,3181,229,cp2@school.edu,gf2@school.edu,dd4@school.edu,kv6@school.edu,sa1@school.edu,ec5@school.edu
43,2614,10223,9622,3171,424,3799,lb4@school.edu,df4@school.edu,cb8@school.edu,jl5@school.edu,fc6@school.edu,th4@school.edu
44,3173,6868,695,1585,3044,1511,lb4@school.edu,df4@school.edu,cb8@school.edu,jl5@school.edu,fc6@school.edu,th4@school.edu
45,20,1405,3003,191,1126,7165,lb4@school.edu,df4@school.edu,cb8@school.edu,jl5@school.edu,fc6@school.edu,th4@school.edu
46,271,2252,2340,5590,1559,4611,lb4@school.edu,df4@school.edu,cb8@school.edu,jl5@school.edu,fc6@school.edu,th4@school.edu
47,2791,1308,6621,3015,3951,4930,lb4@school.edu,df4@school.edu,cb8@school.edu,jl5@school.edu,fc6@school.edu,th4@school.edu
48,564,6911,8393,7903,3181,250,lb4@school.edu,df4@school.edu,cb8@school.edu,jl5@school.edu,fc6@school.edu,th4@school.edu
49,9622,3838,1518,5881,578,2614,lm9@school.edu,cl9@school.edu,eb7@school.edu,ps7@school.edu,rm9@school.edu,jk9@school.edu
50,424,695,533,3799,340,1591,lm9@school.edu,cl9@school.edu,eb7@school.edu,ps7@school.edu,rm9@school.edu,jk9@school.edu
51,8243,1787,9643,3003,6868,10223,lm9@school.edu,cl9@school.edu,eb7@school.edu,ps7@school.edu,rm9@school.edu,jk9@school.edu
52,191,1511,639,3004,1585,7165,lm9@school.edu,cl9@school.edu,eb7@school.edu,ps7@school.edu,rm9@school.edu,jk9@school.edu
53,1126,1405,3171,3173,2010,8140,lm9@school.edu,cl9@school.edu,eb7@school.edu,ps7@school.edu,rm9@school.edu,jk9@school.edu
54,229,1507,2228,3044,378,20,lm9@school.edu,cl9@school.edu,eb7@school.edu,ps7@school.edu,rm9@school.edu,jk9@school.edu
55,3181,2252,5590,7903,3951,1308,dg3@school.edu,rg2@school.edu,pc2@school.edu,cg2@school.edu,gd3@school.edu,ac7@school.edu
56,1559,3838,3799,424,1591,2791,dg3@school.edu,rg2@school.edu,pc2@school.edu,cg2@school.edu,gd3@school.edu,ac7@school.edu
57,695,10223,5881,533,250,3015,dg3@school.edu,rg2@school.edu,pc2@school.edu,cg2@school.edu,gd3@school.edu,ac7@school.edu
58,340,3004,639,4611,3003,2614,dg3@school.edu,rg2@school.edu,pc2@school.edu,cg2@school.edu,gd3@school.edu,ac7@school.edu
59,1511,578,1405,1787,3171,8393,dg3@school.edu,rg2@school.edu,pc2@school.edu,cg2@school.edu,gd3@school.edu,ac7@school.edu
60,378,9643,3173,8140,191,6621,dg3@school.edu,rg2@school.edu,pc2@school.edu,cg2@school.edu,gd3@school.edu,ac7@school.edu
61,1507,7165,20,6868,271,6911,bh3@school.edu,wp7@school.edu,kl4@school.edu,ap6@school.edu,tw5@school.edu,mw7@school.edu
62,3044,4930,2228,1518,2010,564,bh3@school.edu,wp7@school.edu,kl4@school.edu,ap6@school.edu,tw5@school.edu,mw7@school.edu
63,1585,9622,1126,8243,2340,229,bh3@school.edu,wp7@school.edu,kl4@school.edu,ap6@school.edu,tw5@school.edu,mw7@school.edu
64,340,695,1559,7903,10223,3004,bh3@school.edu,wp7@school.edu,kl4@school.edu,ap6@school.edu,tw5@school.edu,mw7@school.edu
65,5590,424,1511,639,2791,250,bh3@school.edu,wp7@school.edu,kl4@school.edu,ap6@school.edu,tw5@school.edu,mw7@school.edu
66,3181,2614,378,3173,3015,4611,bh3@school.edu,wp7@school.edu,kl4@school.edu,ap6@school.edu,tw5@school.edu,mw7@school.edu
67,3951,1787,578,5881,20,9643,dm7@school.edu,me6@school.edu,ob9@school.edu,rs5@school.edu,jg9@school.edu,mn2@school.edu
68,1591,2010,1308,6911,1518,1507,dm7@school.edu,me6@school.edu,ob9@school.edu,rs5@school.edu,jg9@school.edu,mn2@school.edu
69,1126,229,3003,2252,8393,4930,dm7@school.edu,me6@school.edu,ob9@school.edu,rs5@school.edu,jg9@school.edu,mn2@school.edu
70,533,3799,1405,271,1585,2228,dm7@school.edu,me6@school.edu,ob9@school.edu,rs5@school.edu,jg9@school.edu,mn2@school.edu
71,191,8243,6868,564,2340,3171,dm7@school.edu,me6@school.edu,ob9@school.edu,rs5@school.edu,jg9@school.edu,mn2@school.edu
72,7165,9622,8140,6621,3838,3044,dm7@school.edu,me6@school.edu,ob9@school.edu,rs5@school.edu,jg9@school.edu,mn2@school.edu
73,20,2614,7903,1511,250,378,wr1@school.edu,jm2@school.edu,eg3@school.edu,sf4@school.edu,rc6@school.edu,tb1@school.edu
74,1518,2791,3951,340,3173,10223,wr1@school.edu,jm2@school.edu,eg3@school.edu,sf4@school.edu,rc6@school.edu,tb1@school.edu
75,229,5881,1787,1308,3004,424,wr1@school.edu,jm2@school.edu,eg3@school.edu,sf4@school.edu,rc6@school.edu,tb1@school.edu
76,2228,3003,3181,1585,1507,1559,wr1@school.edu,jm2@school.edu,eg3@school.edu,sf4@school.edu,rc6@school.edu,tb1@school.edu
77,8393,578,8243,4611,533,191,wr1@school.edu,jm2@school.edu,eg3@school.edu,sf4@school.edu,rc6@school.edu,tb1@school.edu
78,639,1591,6868,2252,6621,1405,wr1@school.edu,jm2@school.edu,eg3@school.edu,sf4@school.edu,rc6@school.edu,tb1@school.edu
79,9643,7165,2010,9622,695,5590,gc8@school.edu,wn3@school.edu,pm9@school.edu,co2@school.edu,fm4@school.edu,aw1@school.edu
80,3799,2340,6911,3171,8140,4930,gc8@school.edu,wn3@school.edu,pm9@school.edu,co2@school.edu,fm4@school.edu,aw1@school.edu
81,564,3044,271,3838,3015,1126,gc8@school.edu,wn3@school.edu,pm9@school.edu,co2@school.edu,fm4@school.edu,aw1@school.edu
