firstName,lastName,grade,email
John,Doe,12,jd2@school.edu
Paula,Michael,12,pm9@school.edu
Cameron,Owens,11,co2@school.edu
Francis,Merritt,12,fm4@school.edu
Augustus,Wang,11,aw1@school.edu
Warren,Villegas,9,wv4@school.edu
Jana,Cline,12,jc5@school.edu
Greg,Barnett,11,gb5@school.edu
Kirby,Mullen,10,km7@school.edu
Hilary,Nichols,10,hn7@school.edu
Patricia,Rodriguez,12,pr2@school.edu
Numbers,Mcclain,10,nm5@school.edu
Bert,Clay,11,bc9@school.edu
Regina,Bradford,12,rb8@school.edu
Ned,Arnold,10,na1@school.edu
Raymundo,Christian,11,rc2@school.edu
Berry,Olsen,12,bo1@school.edu
Ronnie,Reilly,12,rr2@school.edu
Jannie,Harrington,9,jh1@school.edu
Mara,Mullins,11,mm3@school.edu
Oswaldo,Rangel,10,or5@school.edu
Florencio,Mckenzie,12,fm5@school.edu
Jacinto,Avery,9,ja5@school.edu
Tammie,Mccarthy,11,tm5@school.edu
Kristine,Henry,11,kh3@school.edu
Jaclyn ,Perez,10,jp8@school.edu
Joesph,Chandler,9,jc6@school.edu
Hannah,Brennan,10,hb8@school.edu
Allison,Clayton,11,ac5@school.edu
Dollie,Cox,9,dc9@school.edu
Bennie,Perkins,11,bp2@school.edu
Alfredo,Navarro,10,an8@school.edu
Mohamed,Cunningham,10,mc2@school.edu
Bettye,Mcconnell,9,bm8@school.edu
Bud,Nixon,10,bn1@school.edu
Jeromy,Wallace,12,jw3@school.edu
Hong,Yang,12,hy4@school.edu
Christina,Pacheco,12,cp2@school.edu
Gretchen,Freeman,10,gf2@school.edu
Dorthy,Dominguez,11,dd4@school.edu
Kellie,Vincent,9,kv6@school.edu
Silvia,Allen,12,sa1@school.edu
Enid,Copeland,12,ec5@school.edu
Louise,Bass,10,lb4@school.edu
Dorian,Foster,9,df4@school.edu
Catherine,Bryan,9,cb8@school.edu
Judy,Lee,10,jl5@school.edu
Franklin,Cooper,9,fc6@school.edu
Tia,Hall,11,th4@school.edu
Lesley,Mcknight,11,lm9@school.edu
Chadwick,Lawson,10,cl9@school.edu
Elise,Benson,10,eb7@school.edu
Patricia,Stout,9,ps7@school.edu
Roberta,Mueller,12,rm9@school.edu
Jarrett,Knox,11,jk9@school.edu
Dillon,Gilmore,11,dg3@school.edu
Reginald,Galloway,11,rg2@school.edu
Patrice,Cowan,12,pc2@school.edu
Carly,Greer,12,cg2@school.edu
Gaston,Delgado,9,gd3@school.edu
Aaron,Cline,12,ac7@school.edu
Berta,Ho,12,bh3@school.edu
Waldo,Perkins,10,wp7@school.edu
Kimberley,Lee,9,kl4@school.edu
Anastasia, Pearson,9,a 6@school.edu
Trent,Weeks,9,tw5@school.edu
Maximo,Weber,9,mw7@school.edu
Donny,Moss,11,dm7@school.edu
Mallory,Evans,11,me6@school.edu
Oscar,Bright,10,ob9@school.edu
Randi,Stone,11,rs5@school.edu
Jeannine,Gay,9,jg9@school.edu
Marissa,Noble,12,mn2@school.edu
Whitney,Rowe,11,wr1@school.edu
Jean,Montes,12,jm2@school.edu
Eva,Griffin,9,eg3@school.edu
Shauna,Fitzpatrick,11,sf4@school.edu
Robert,Cook,11,rc6@school.edu
Tamika,Best,9,tb1@school.edu
Georgia,Coffey,10,gc8@school.edu
Willard,Nielsen,11,wn3@school.edu
